"Baumhauerite","Pb_12_As_16_S_36_","","",""
"Baumhauerite-2a","Ag_1.5_Pb_22_As_33.5_S_72_","","",""
"Baumstarkite","Ag_3_Sb_3_S_6_","","",""
"Bauranoite","BaU_2_O_7_·4-5H_2_O","","",""
"Bavenite","Ca_4_Be_2_Al_2_Si_9_O_26_(OH)_2_","","",""
"Bayerite","Al(OH)_3_","","",""
"Bayldonite","Cu_3_PbO(AsO_3_OH)_2_(OH)_2_","","",""
"Bayleyite","Mg_2_(UO_2_)(CO_3_)_3_(H_2_O)_12_·6H_2_O","","",""
"Baylissite","K_2_Mg(CO_3_)_2_·4H_2_O","","",""
"Bazhenovite","Ca_8_S_5_(S_2_O_3_)(OH)_12_·20H_2_O","","",""
"Bazirite","BaZrSi_3_O_9_","","",""
"Bazzite","Be_3_(Sc,Fe^3+^,Mg)_2_Si_6_O_18_·Na_0.32_·nH_2_O","","",""
"Bearsite","Be_2_AsO_4_(OH)·4H_2_O","","",""
"Bearthite","Ca_2_Al(PO_4_)_2_OH","","",""
"Beaverite-(Cu)","PbCu^2+^Fe^3+^_2_(SO_4_)_2_(OH)_6_","","",""
"Bechererite","(Zn,Cu)_6_Zn_2_(OH)_13_[(S,Si)(O,OH)_4_]_2_","","",""
"Becquerelite","Ca(UO_2_)_6_O_4_(OH)_6_·8H_2_O","","",""
"Bederite","Ca_2_Mn^2+^_4_Fe^3+^_2_(PO_4_)_6_·2H_2_O","","",""
"Behierite","TaBO_4_","","",""
"Behoite","Be(OH)_2_","","",""
"Beidellite","(Na,Ca)_0.3_Al_2_(Si,Al)_4_O_10_(OH)_2_·nH_2_O","","",""
"Belendorffite","Cu_7_Hg_6_","","",""
"Belkovite","Ba_3_Nb_6_(Si_2_O_7_)_2_O_12_","","",""
"Bellbergite","(K,Ba,Sr)_2_Sr_2_Ca_2_(Ca,Na)_4_(Si,Al)_36_O_72_·30H_2_O","","",""
"Bellidoite","Cu_2_Se","","",""
"Bellingerite","Cu_3_(IO_3_)_6_·2H_2_O","","",""
"Belloite","Cu(OH)Cl","","",""
"Belovite-(La)","NaLaSr_3_(PO_4_)_3_F","","",""
"Bementite","Mn_7_Si_6_O_15_(OH)_8_","","",""
"Benauite","SrFe^3+^_3_(PO_4_)(PO_3_OH)(OH)_6_","","",""
"Benavidesite","Pb_4_MnSb_6_S_14_","","",""
"Benitoite","BaTiSi_3_O_9_","","",""
"Benjaminite","Ag_3_Bi_7_S_12_","","",""
"Benleonardite","Ag_8_SbTe_2_S_3_","","",""
"Benstonite","Ba_6_Ca_6_Mg(CO_3_)_13_","","",""
"Bentorite","Ca_6_Cr_2_(SO_4_)_3_(OH)_12_·26H_2_O","","",""
"Benyacarite","KTiMn^2+^_2_Fe^3+^_2_(PO_4_)_4_OF·15H_2_O","","",""
"Beraunite","Fe^2+^Fe^3+^_5_(PO_4_)_4_(OH)_5_·6H_2_O","","",""
"Berborite","Be_2_BO_3_(OH)·H_2_O","","",""
"Berdesinskiite","V^3+^_2_TiO_5_","","",""
"Berezanskite","KTi_2_(Li_3_Si_12_)O_30_","","",""
"Bergenite","Ca_2_Ba_4_(UO_2_)_9_O_6_(PO_4_)_6_·16H_2_O","","",""
"Bergslagite","CaBeAsO_4_(OH)","","",""
"Berlinite","AlPO_4_","","",""
"Bermanite","Mn^2+^Mn^3+^_2_(PO_4_)_2_(OH)_2_·4H_2_O","","",""
"Bernalite","Fe(OH)_3_","","",""
"Bernardite","TlAs_5_S_8_","","",""
"Berndtite","SnS_2_","","",""
"Berryite","Cu_3_Ag_2_Pb_3_Bi_7_S_16_","","",""
"Berthierine","(Fe^2+^,Fe^3+^,Al)_3_(Si,Al)_2_O_5_(OH)_4_","","",""
"Berthierite","FeSb_2_S_4_","","",""
"Bertossaite","Li_2_CaAl_4_(PO_4_)_4_(OH)_4_","","",""
"Bertrandite","Be_4_Si_2_O_7_(OH)_2_","","",""
"Beryl","Be_3_Al_2_Si_6_O_18_","","",""
"Beryllite","Be_3_SiO_4_(OH)_2_·H_2_O","","",""
"Beryllonite","NaBePO_4_","","",""
"Berzelianite","Cu_2-x_Se (x~0.12)","","",""
